"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45440550305.2662;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 13:12:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440550305.2662;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 13:12:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440557249.7106;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 13:22:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440557249.7106;1;1;3;240001;;;;;;;;;"28.05.2024 13:22:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440557249.7106;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 13:22:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440564194.3287;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 13:32:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440564194.3287;1;1;3;240001;;;;;;;;;"28.05.2024 13:32:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440564194.3287;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 13:32:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440571138.5995;1;1;3;240001;;;;;;;;;"28.05.2024 13:42:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440571138.5995;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 13:42:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440571138.5995;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 13:42:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440578083.044;1;1;3;240001;;;;;;;;;"28.05.2024 13:52:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440578083.044;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 13:52:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440578083.044;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 13:52:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440585028.206;1;1;3;240001;;;;;;;;;"28.05.2024 14:02:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440585028.206;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 14:02:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440585028.206;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 14:02:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440591972.4653;1;1;3;240001;;;;;;;;;"28.05.2024 14:12:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440591972.4653;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 14:12:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
