"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45527558321.4931;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 2*****290";;;;;;;;"23.08.2024 13:23:59";"Programm/Schrittnummer Status des VM ist : 2*****290";
45527558321.4931;1;1;3;60000;"Anlagezustand-VM : Bereit für Beschichtung ";;;;;;;;"23.08.2024 13:23:59";"Anlagezustand-VM : Bereit für Beschichtung ";
45527561973.8542;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 110*****1100";;;;;;;;"23.08.2024 13:29:15";"Programm/Schrittnummer Status des BM ist : 110*****1100";
45527561973.8542;1;1;3;60000;"Anlagezustand-BM : Anfahren Quelle einrichten  ";;;;;;;;"23.08.2024 13:29:15";"Anlagezustand-BM : Anfahren Quelle einrichten  ";
45527562008.5417;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 110*****1105";;;;;;;;"23.08.2024 13:29:18";"Programm/Schrittnummer Status des BM ist : 110*****1105";
45527562043.206;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 11*****1110";;;;;;;;"23.08.2024 13:29:21";"Programm/Schrittnummer Status des BM ist : 11*****1110";
45527562043.206;1;1;3;60000;"Anlagezustand-BM : Quelle einrichten ";;;;;;;;"23.08.2024 13:29:21";"Anlagezustand-BM : Quelle einrichten ";
45527562760.8912;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 11*****1125";;;;;;;;"23.08.2024 13:30:23";"Programm/Schrittnummer Status des BM ist : 11*****1125";
45527562818.6574;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 11*****1130";;;;;;;;"23.08.2024 13:30:28";"Programm/Schrittnummer Status des BM ist : 11*****1130";
45527562865.2199;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 11*****1110";;;;;;;;"23.08.2024 13:30:32";"Programm/Schrittnummer Status des BM ist : 11*****1110";
45527563999.375;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 11*****1185";;;;;;;;"23.08.2024 13:32:10";"Programm/Schrittnummer Status des BM ist : 11*****1185";
45527564034.0972;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 2*****290";;;;;;;;"23.08.2024 13:32:13";"Programm/Schrittnummer Status des BM ist : 2*****290";
45527564034.0972;1;1;3;60000;"Anlagezustand-BM : Bereit für Beschichtung ";;;;;;;;"23.08.2024 13:32:13";"Anlagezustand-BM : Bereit für Beschichtung ";
45527601641.6551;1;1;3;60000;"SQL executed";;;;;;;;"23.08.2024 14:26:22";"SQL executed";
45527601651.3426;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 30*****300";;;;;;;;"23.08.2024 14:26:23";"Programm/Schrittnummer Status des BM ist : 30*****300";
45527601651.3426;1;1;3;60000;"Anlagezustand-BM : Prozess starten  ";;;;;;;;"23.08.2024 14:26:23";"Anlagezustand-BM : Prozess starten  ";
45527601674.5023;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 30*****305";;;;;;;;"23.08.2024 14:26:25";"Programm/Schrittnummer Status des BM ist : 30*****305";
45527601697.5463;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 30*****310";;;;;;;;"23.08.2024 14:26:27";"Programm/Schrittnummer Status des BM ist : 30*****310";
45527601720.706;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 30*****315";;;;;;;;"23.08.2024 14:26:29";"Programm/Schrittnummer Status des BM ist : 30*****315";
45527601732.338;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 30*****325";;;;;;;;"23.08.2024 14:26:30";"Programm/Schrittnummer Status des BM ist : 30*****325";
45527601998.5995;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 30*****335";;;;;;;;"23.08.2024 14:26:53";"Programm/Schrittnummer Status des BM ist : 30*****335";
45527602716.2847;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 30*****340";;;;;;;;"23.08.2024 14:27:55";"Programm/Schrittnummer Status des BM ist : 30*****340";
45527602727.6968;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 30*****345";;;;;;;;"23.08.2024 14:27:56";"Programm/Schrittnummer Status des BM ist : 30*****345";
45527602785.5903;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 30*****350";;;;;;;;"23.08.2024 14:28:01";"Programm/Schrittnummer Status des BM ist : 30*****350";
