Zeitstempel;Scheinleistung L1 (VA);Scheinleistung L2 (VA);Scheinleistung L3 (VA);Gesamtscheinleistung (VA)
9468;2598;2193;3734;8524
9469;1922;1311;1080;4314
9470;1821;3051;3081;7953
9471;2503;2664;2421;7588
9472;3123;2284;2825;8231
9473;943.5;1068;1928;3940
9474;4551;5088;3590;13230
9475;1635;1258;1549;4442
9476;3528;3132;3996;10660
9477;1608;2270;2765;8188
9478;1599;2929;1007;5536
9479;4821;2850;3840;11510
9480;1768;2174;867.5;4810
9481;3376;1006;2786;7168
9482;1764;1507;2397;5668
9483;2971;3279;216.9;6467
9484;2349;2499;4426;9274
9485;1000;169.2;212.1;1382
9486;3937;3359;3566;10860
9487;2190;2177;1380;5747
9488;1473;1087;1567;4128
9489;3202;4000;4058;11260
9490;2614;2812;2056;7482
9491;2108;2644;2125;6877
9492;2946;2689;2140;7775
9493;3393;3171;2712;9276
9494;2399;1442;2632;6474
9495;3252;3436;3049;9737
9496;2363;3148;1953;7463
9497;3968;2399;5672;12040
9498;2280;2692;662.7;5635
9499;3013;3137;2983;9133
9500;4209;2860;2887;9955
9501;1434;3531;939;5905
9502;3134;3544;2432;9109
9503;869.7;1044;2359;4272
9504;2890;1874;3011;7775
9505;2992;1786;2853;7631
9506;2668;1584;3983;8235
9507;1815;1504;698.6;4017
9508;3156;2395;3732;9283
9509;225.6;2070;1614;3910
9510;3263;2765;2837;8865
9511;1213;1140;1792;4144
9512;2807;1935;1730;6471
9513;2052;1529;1263;4844
9514;2802;4338;3947;11090
9515;3451;1023;1983;6457
9516;2792;3677;4403;10870
9517;2846;963.6;1830;5640
9518;4126;3730;2776;10630
9519;3418;2591;2388;8397
9520;1698;2212;1879;5789
9521;2467;1029;2578;6073
9522;2287;3399;1962;7648
9523;2106;1257;2153;5516
9524;2138;2399;2446;6983
9525;2848;2807;2276;7931
9526;2895;3610;2495;9000
9527;1885;4004;5744;11630
9528;1914;2497;2682;7094
9529;3249;2854;3120;9222
9530;1274;1458;1886;4618
9531;4379;4264;2590;11230
9532;1011;1158;1890;4059
9533;3224;2441;3393;9058
9534;3450;3245;1915;8610
9535;3149;4672;6402;6306
9536;4055;2302;2423;8779
9537;973.1;1176;1212;3361
9538;3092;3822;4513;11430
9539;999.1;414.1;1075;2488
9540;3708;3805;5673;13190
9541;1689;1228;883.8;3801
9542;2657;1400;2081;6137
9543;2613;2945;1829;7387
9544;2904;1432;2527;6863
9545;1337;1034;3115;5486
9546;2339;1994;1100;5434
9547;3794;2082;1793;7669
9548;3886;3738;4154;11780
9549;2479;2347;2106;6933
9550;3913;5506;4382;13800
9551;2471;1072;2601;6144
9552;3657;4006;4467;12130
9553;2773;1902;3681;8356
9554;2067;2544;2396;7007
9555;2473;2194;836.9;5504
9556;2763;2178;3937;8878
9557;2313;2694;2114;7121
9558;3360;2734;2383;8476
9559;2314;4042;2906;9262
9560;2291;1949;2281;6521
9561;2296;2078;2723;7097
9562;2536;4132;4062;10730
9563;2630;2394;2626;7649
9564;2031;3324;2810;8165
9565;2812;3298;2288;8398
9566;1550;1385;424.9;3360
9567;5514;4426;5987;15930
9568;222.4;168.5;210.1;601
9569;3870;4159;6750;14780
9570;1654;2752;3655;8061
9571;3761;3031;1671;8464
9572;2958;2970;3317;9245
9573;1137;884.2;395.3;2416
9574;3504;3645;2488;9636
9575;1491;2220;3196;6908
9576;2411;2201;1852;6464
9577;1984;1762;2149;5896
9578;1880;1053;1261;4194
9579;3666;3746;3393;10810
9580;2987;1067;3239;7294
9581;1477;1562;2230;5268
9582;3663;3753;5452;12870
9583;2789;2632;2598;8019
9584;5330;5493;5394;16220
9585;1951;807;1926;4684
9586;3913;4107;3653;11670
9587;2079;832.6;1199;4110
9588;3784;5259;5477;14520
9589;2757;1632;1821;6211
9590;2143;2921;2580;7644
9591;3044;4601;3187;10830
9592;3078;2197;2464;7739
9593;2047;1838;3611;7495
9594;3419;2932;5090;11440
9595;1835;1797;1029;4661
9596;2671;2884;4199;9754
9597;2149;1681;1777;5607
9598;1852;2791;1155;5799
9599;2267;2240;3778;8285
9600;1117;1937;640.4;3695
9601;2894;4752;4774;12420
9602;923.9;675.7;883.1;2483
9603;4389;3841;3219;11450
9604;696.3;1843;2439;4978
9605;2525;1718;2414;6657
9606;2515;3716;4364;10590
9607;3252;2551;3700;9502
9608;2140;2197;2077;6414
9609;1447;2521;1639;5607
9610;4915;3754;4046;12710
9611;1910;677;1402;3989
9612;2892;1675;2484;7051
9613;3019;3253;2867;9139
9614;2574;2103;1312;5989
9615;2846;2978;2508;8333
9616;2491;447.7;1141;4080
9617;3119;770.2;1499;5388
9618;2599;4485;5943;13030
9619;3050;3196;2587;8833
9620;3027;3379;3332;9739
9621;1888;932.3;1307;4127
9622;3203;5058;3362;11620
9623;2895;2928;3865;9688
9624;2296;2575;2583;7454
9625;3015;2311;2243;7570
9626;3261;3794;2699;9754
